Member_number,Date,itemDescription
1000,2014-06-24,"whole milk, pastry, salty snack"
1000,2015-03-15,"sausage, whole milk, semi-finished bread, yogurt"
1000,2015-05-27,"soda, pickled vegetables"
1000,2015-07-24,"canned beer, misc. beverages"
1000,2015-11-25,"sausage, hygiene articles"
1001,2014-02-07,"sausage, whole milk, rolls/buns"
1001,2014-12-12,"whole milk, soda"
1001,2015-01-20,"frankfurter, soda, whipped/sour cream"
1001,2015-04-14,"beef, white bread"
1001,2015-05-02,"frankfurter, curd"
1002,2014-02-09,"frozen vegetables, other vegetables"
1002,2014-04-26,"butter, whole milk"
1002,2015-04-26,"tropical fruit, sugar"
1002,2015-08-30,"butter milk, specialty chocolate"
1003,2014-01-19,"frozen meals, dental care"
1003,2014-02-27,rolls/buns
1003,2014-10-15,"root vegetables, detergent"
1003,2015-02-10,"sausage, rolls/buns"
1004,2014-02-04,"pip fruit, whole milk, tropical fruit"
1004,2014-05-01,"dish cleaner, cling film/bags"
1004,2014-06-10,"rolls/buns, red/blush wine, chocolate"
1004,2014-07-01,"canned beer, frozen fish"
1004,2014-07-10,"other vegetables, shopping bags"
1004,2014-08-19,"root vegetables, whole milk, pastry"
1004,2014-10-13,"whole milk, chocolate, packaged fruit/vegetables, rolls/buns"
1004,2015-12-02,"other vegetables, hygiene articles"
1005,2014-01-09,rolls/buns
1005,2014-01-23,"whipped/sour cream, margarine"
1006,2014-04-09,"whole milk, rice"
1006,2014-07-05,"bottled water, softener, rolls/buns"
1006,2014-07-11,"shopping bags, skin care"
1006,2015-06-14,"whole milk, frankfurter, chicken, flour, chocolate, bottled beer, rolls/buns"
1008,2015-07-21,"tropical fruit, soda, yogurt, root vegetables, domestic eggs, white wine, photo/film"
1008,2015-10-03,"hamburger meat, liquor (appetizer), liver loaf, dessert"
1009,2014-01-24,"canned fish, cocoa drinks"
1009,2015-05-14,"tropical fruit, yogurt"
1009,2015-09-23,"pastry, ketchup"
1009,2015-10-05,"herbs, yogurt, newspapers"
1010,2014-03-05,"pip fruit, coffee, UHT-milk"
1010,2014-04-10,"kitchen towels, sliced cheese"
1010,2014-08-23,"bottled water, specialty bar"
1010,2014-08-27,"frankfurter, bottled water"
1010,2015-07-31,"pip fruit, candles, rolls/buns"
1011,2014-02-15,"citrus fruit, candy, bottled water, rolls/buns"
1011,2014-06-02,"curd cheese, pastry"
1011,2015-12-09,"whole milk, frankfurter, candles, grapes, herbs, other vegetables, yogurt"
1012,2014-06-22,"frozen vegetables, brown bread"
1012,2015-03-27,"processed cheese, whole milk"
1012,2015-10-03,"frankfurter, yogurt"
1012,2015-11-19,"tropical fruit, root vegetables, rolls/buns, onions, shopping bags"
1013,2014-01-17,"hard cheese, napkins, bottled water"
1013,2014-02-20,"whole milk, candy"
1013,2014-03-26,"tropical fruit, frozen vegetables"
1013,2014-03-28,"mustard, whipped/sour cream"
1013,2014-07-15,"other vegetables, mustard"
1013,2014-11-12,"root vegetables, mayonnaise"
1013,2015-07-02,"frozen meals, whole milk"
1013,2015-10-02,"white bread, meat, domestic eggs, roll products "
1014,2014-09-04,"hamburger meat, butter milk"
1014,2014-10-06,"whole milk, rolls/buns"
1014,2015-01-04,"canned beer, cookware"
1014,2015-10-03,"whole milk, sausage, bottled beer, yogurt"
1015,2014-06-28,"fruit/vegetable juice, rolls/buns, chocolate"
1015,2015-03-22,"salty snack, beef"
1015,2015-05-04,"citrus fruit, whole milk"
1016,2015-04-23,"soft cheese, pip fruit"
1016,2015-07-19,"chicken, red/blush wine"
1016,2015-09-30,"rolls/buns, frankfurter, oil, pip fruit, mayonnaise"
1016,2015-10-05,"UHT-milk, bottled beer"
1017,2014-02-21,"other vegetables, root vegetables"
1017,2014-06-19,"yogurt, beef"
1017,2014-10-14,"brown bread, pet care"
1017,2015-05-16,"other vegetables, rolls/buns"
1017,2015-09-30,"soda, dessert, shopping bags"
1018,2014-04-15,"beverages, domestic eggs"
1018,2014-05-27,"berries, cake bar"
1018,2014-10-01,"curd, long life bakery product"
1018,2015-05-23,"butter milk, root vegetables"
1019,2014-12-10,"hamburger meat, red/blush wine"
1020,2014-07-19,"frozen meals, butter, newspapers, yogurt"
1020,2014-08-12,"canned beer, shopping bags"
1020,2015-10-13,"canned beer, spices, rolls/buns, frozen fish"
1021,2014-05-30,"sliced cheese, butter"
1021,2015-10-22,"liquor, curd, yogurt, tropical fruit"
1021,2015-11-07,"rolls/buns, baking powder"
1022,2014-02-22,"beef, napkins"
1022,2014-03-25,"whole milk, whipped/sour cream"
1022,2014-06-07,"sausage, fruit/vegetable juice"
1023,2014-05-17,"chicken, frozen meals"
1023,2014-05-22,"male cosmetics, curd"
1023,2014-06-13,"domestic eggs, soda"
1023,2014-12-30,"sausage, whipped/sour cream, specialty bar"
1023,2015-01-06,"whipped/sour cream, root vegetables, rolls/buns, packaged fruit/vegetables"
1023,2015-06-28,"white bread, bottled beer, yogurt, berries"
1024,2015-08-10,"fish, root vegetables, tropical fruit, other vegetables"
1025,2014-02-06,"coffee, shopping bags"
1025,2014-03-10,"ham, cream cheese "
1025,2015-08-19,"canned beer, UHT-milk"
1026,2014-03-08,"sausage, dessert, rolls/buns, pickled vegetables"
1026,2014-06-18,"root vegetables, long life bakery product"
1026,2014-08-23,"citrus fruit, yogurt"
1026,2015-03-15,"fruit/vegetable juice, salty snack, candy, dental care, butter"
1026,2015-05-28,"root vegetables, whipped/sour cream, canned beer"
1027,2014-05-14,"softener, salt, whole milk"
1027,2014-09-22,"rolls/buns, bottled water"
1027,2015-02-25,"rolls/buns, red/blush wine"
1027,2015-05-17,"pork, hamburger meat"
1028,2014-04-05,"rolls/buns, sugar"
1028,2014-04-24,"rolls/buns, baking powder, onions, bottled water"
1028,2014-11-10,"soda, butter"
1028,2015-06-02,"onions, canned beer, flower (seeds)"
1028,2015-07-11,"specialty chocolate, root vegetables"
1029,2015-03-14,"dessert, ham"
1031,2014-03-04,"ice cream, pot plants"
1031,2015-08-26,"beverages, cream cheese "
1031,2015-10-15,"other vegetables, berries"
1032,2014-01-26,"whipped/sour cream, newspapers"
1032,2014-09-23,"white bread, whole milk, pastry, shopping bags"
1032,2015-06-15,"berries, soda, butter, other vegetables, white bread, cream cheese "
1032,2015-07-13,"ice cream, whipped/sour cream"
1032,2015-08-23,"yogurt, root vegetables"
1033,2014-03-02,"frankfurter, pastry"
1033,2014-04-18,"fruit/vegetable juice, dessert"
1033,2014-04-21,"sausage, snack products, rolls/buns"
1033,2015-04-22,"tropical fruit, soda, rolls/buns"
1033,2015-06-15,"chicken, waffles"
1034,2014-02-24,"pip fruit, cling film/bags, yogurt, cat food"
1034,2014-04-28,"bottled water, domestic eggs, frozen meals"
1034,2014-05-13,"tropical fruit, newspapers"
1035,2014-06-25,"whole milk, frozen vegetables"
1035,2014-08-15,"pip fruit, white wine, white bread, salt"
1035,2015-04-24,"whole milk, yogurt, rolls/buns"
1035,2015-05-23,"sausage, frozen vegetables"
1035,2015-09-08,"whole milk, newspapers"
1036,2014-01-20,"fruit/vegetable juice, vinegar"
1037,2014-02-24,"tropical fruit, white bread, rolls/buns"
1037,2014-06-06,"citrus fruit, shopping bags, chewing gum, cake bar"
1037,2015-12-16,"frankfurter, yogurt, canned beer"
1038,2014-01-28,"margarine, napkins"
1038,2015-02-21,"sausage, pork, butter, whole milk, fruit/vegetable juice"
1038,2015-04-02,"whole milk, pip fruit, whipped/sour cream"
1038,2015-04-10,"other vegetables, specialty chocolate"
1038,2015-04-23,"pip fruit, herbs, frozen meals"
1038,2015-12-14,"Instant food products, whipped/sour cream, butter, cake bar"
1039,2015-05-31,"salty snack, rolls/buns"
1040,2014-06-14,"yogurt, rolls/buns"
1040,2014-09-03,"whole milk, pasta, rolls/buns"
1040,2014-10-24,"root vegetables, white bread"
1040,2015-11-26,"tropical fruit, chicken, onions, packaged fruit/vegetables"
1041,2014-06-13,"chicken, frozen vegetables, candy"
1041,2014-06-29,"tropical fruit, brown bread, whole milk"
1041,2014-07-07,"prosecco, dessert"
1041,2015-04-02,"hamburger meat, yogurt"
1042,2015-02-12,"beef, dessert"
1042,2015-05-22,"citrus fruit, bottled water"
1042,2015-10-16,"whole milk, other vegetables"
1043,2014-03-14,"tropical fruit, sliced cheese"
1043,2014-06-16,"napkins, whole milk, chocolate marshmallow"
1043,2015-01-10,"citrus fruit, rolls/buns, whole milk"
1044,2015-02-09,"tropical fruit, other vegetables"
1044,2015-10-25,"root vegetables, curd"
1045,2014-01-12,"root vegetables, yogurt, butter"
1045,2014-04-10,"fruit/vegetable juice, specialty chocolate, Instant food products"
1045,2015-11-25,"chicken, onions"
1046,2015-06-18,"whole milk, pastry"
1046,2015-06-24,"pork, bottled water"
1047,2014-12-17,"pip fruit, soda"
1047,2015-01-04,"curd, soda"
1047,2015-08-09,"sweet spreads, butter"
